content_id,title,artist,status,quality_score,expected_duration_sec,actual_duration_sec,duration_delta_sec,file_size_bytes,file_ext,sha256,resolved_file,warnings,errors
-43391401_167898545,PAGE 33,EXERCICES AUDIO DE GRAMMAIRE,ok,100,262,262.397722,0.3977219999999875,4394312,.ts,f41df7443c85921532527cded74b12906aca337846a7e7168a83cba05b501e93,C:\Users\HP Pro Book\Desktop\vk\downloads\0050_EXERCICES AUDIO DE GRAMMAIRE_PAGE 33.ts,,
-43391401_167898451,PAGE 32,EXERCICES AUDIO DE GRAMMAIRE,ok,100,307,307.014478,0.014477999999996882,5138416,.ts,f3a01478a0918346c1931cf4d060cffc86a789b8e0450dedd8cdb6b2c38fef66,C:\Users\HP Pro Book\Desktop\vk\downloads\0051_EXERCICES AUDIO DE GRAMMAIRE_PAGE 32.ts,,
-43391401_167898312,PAGE 31,EXERCICES AUDIO DE GRAMMAIRE,ok,100,301,301.3982,0.39819999999997435,5041784,.ts,aaefb96bb29952b0f7e9e1f582669b7b30ea8487843ea264f5616ae68fbefb22,C:\Users\HP Pro Book\Desktop\vk\downloads\0052_EXERCICES AUDIO DE GRAMMAIRE_PAGE 31.ts,,
-43391401_167898172,PAGE 30,EXERCICES AUDIO DE GRAMMAIRE,ok,100,336,336.924422,0.9244219999999927,5635112,.ts,32316cd5642ba58bf35e71aee0093c23c6703d6f29bac3f612c3596e233f4a0f,C:\Users\HP Pro Book\Desktop\vk\downloads\0053_EXERCICES AUDIO DE GRAMMAIRE_PAGE 30.ts,,
-43391401_167898001,PAGE 29,EXERCICES AUDIO DE GRAMMAIRE,ok,100,317,316.940922,0.05907799999999952,5306864,.ts,0a4180ca387ffe85876bfa91161cb751c9e92a1366100a5baf73ada15d3651c8,C:\Users\HP Pro Book\Desktop\vk\downloads\0054_EXERCICES AUDIO DE GRAMMAIRE_PAGE 29.ts,,
-43391401_167897861,PAGE 28,EXERCICES AUDIO DE GRAMMAIRE,ok,100,231,231.469011,0.46901099999999474,3879568,.ts,83373d9422d1ff9201e1f5006a2734c3df13ce2ad13bd227cf5f8d3f77a75755,C:\Users\HP Pro Book\Desktop\vk\downloads\0055_EXERCICES AUDIO DE GRAMMAIRE_PAGE 28.ts,,
-43391401_167897654,PAGE 27,EXERCICES AUDIO DE GRAMMAIRE,ok,100,266,266.002589,0.0025890000000003965,4457856,.ts,2f506d3d5e3c75e55900414a533b117578e5bc2c59768286ac76f913f2992273,C:\Users\HP Pro Book\Desktop\vk\downloads\0056_EXERCICES AUDIO DE GRAMMAIRE_PAGE 27.ts,,
-43391401_167897510,PAGE 26,EXERCICES AUDIO DE GRAMMAIRE,ok,100,299,299.412911,0.41291100000000824,5008696,.ts,fe81cc78fc26e44d209d08d1cd7cda3ab739a6a944f9f1270c52225290a46a6e,C:\Users\HP Pro Book\Desktop\vk\downloads\0057_EXERCICES AUDIO DE GRAMMAIRE_PAGE 26.ts,,
-43391401_167897397,PAGE 25,EXERCICES AUDIO DE GRAMMAIRE,ok,100,326,326.501656,0.5016560000000254,5463656,.ts,17de4e2246f92b2c0d3d761a37352b0d7abbcaa56ceb38b9e934478d201c214f,C:\Users\HP Pro Book\Desktop\vk\downloads\0058_EXERCICES AUDIO DE GRAMMAIRE_PAGE 25.ts,,
-43391401_167897226,PAGE 24,EXERCICES AUDIO DE GRAMMAIRE,ok,100,316,316.4446,0.4445999999999799,5297840,.ts,43884bceee5e6f65bf0360a6faf4bdbe4b387bbff297b8f0f6768281795d640a,C:\Users\HP Pro Book\Desktop\vk\downloads\0059_EXERCICES AUDIO DE GRAMMAIRE_PAGE 24.ts,,
-43391401_167897085,PAGE 23,EXERCICES AUDIO DE GRAMMAIRE,ok,100,275,274.936389,0.06361099999998032,4602240,.ts,e7206d41cb1cc291ecee68e0147bbe50b251eba00718601889dccef43208ae6a,C:\Users\HP Pro Book\Desktop\vk\downloads\0060_EXERCICES AUDIO DE GRAMMAIRE_PAGE 23.ts,,
-43391401_167896974,PAGE 22,EXERCICES AUDIO DE GRAMMAIRE,ok,100,314,313.962989,0.03701100000000679,5252720,.ts,4964bddd6c546612a80f6fc3ba88be78ccf2a877df216893aefeb506bda580c4,C:\Users\HP Pro Book\Desktop\vk\downloads\0061_EXERCICES AUDIO DE GRAMMAIRE_PAGE 22.ts,,
-43391401_167896853,PAGE 21,EXERCICES AUDIO DE GRAMMAIRE,ok,100,253,253.463922,0.4639219999999966,4246920,.ts,652afcf617a0269d1ab38a8e56fd361acccba10282faf3f6d9541314318b4936,C:\Users\HP Pro Book\Desktop\vk\downloads\0062_EXERCICES AUDIO DE GRAMMAIRE_PAGE 21.ts,,
-43391401_167896743,PAGE 20,EXERCICES AUDIO DE GRAMMAIRE,ok,100,268,268.4842,0.4841999999999871,4493952,.ts,d567fa3ca9195e32a25e7d2a00a5a17bae617f48e01ef55efb6be8c4b66cdb04,C:\Users\HP Pro Book\Desktop\vk\downloads\0063_EXERCICES AUDIO DE GRAMMAIRE_PAGE 20.ts,,
-43391401_167896624,PAGE 19,EXERCICES AUDIO DE GRAMMAIRE,ok,100,287,287.004856,0.004856000000017957,4804152,.ts,a0788410e9e14677b2756883e2abc500c599aa827c2cb1a5646b7309f63de33e,C:\Users\HP Pro Book\Desktop\vk\downloads\0064_EXERCICES AUDIO DE GRAMMAIRE_PAGE 19.ts,,
